Song_Name, Artist_Name, Duration, Album_Type

​Willow, Taylor Swift,3:34,Album    
​Champagne problems , Taylor Swift,4:04,Album  
​Gold rush Lyrics , Taylor Swift,3:05,Album  
​Tis the damn season , Taylor Swift,3:49,Album  
​Tolerate it, Taylor Swift,4:05,Album  
​No body no crime (Ft. HAIM) , Taylor Swift,3:35,Album  
​Happiness , Taylor Swift,5:15,Album  
​Dorothea  , Taylor Swift,3:45,Album  
​Coney island (Ft. The National), Taylor Swift,4:35,Album  
​Ivy  , Taylor Swift,4:20,Album  
​Cowboy like me , Taylor Swift,4:35,Album  
​L​ong story short , Taylor Swift,3:35,Album  
​Marjorie, Taylor Swift,4:17,Album  
​Closure , Taylor Swift,3:00,Album  
​Evermore (Ft. Bon Iver) , Taylor Swift,5:04,Album  
Lavender Haze, Taylor Swift,3:22,Album  
Maroon, Taylor Swift,3:38,Album  
Anti-Hero, Taylor Swift,3:20,Album  
Snow on the Beach (Ft. Lana Del Rey), Taylor Swift,4:16,Album  
You're on Your Own Kid, Taylor Swift,3:14,Album  
Midnight Rain, Taylor Swift,2:54,Album  
Question...?, Taylor Swift,3:30,Album  
Vigilante Shit, Taylor Swift,2:44,Album  
Bejeweled,Taylor Swift,3:14,Album  
Labyrinth,Taylor Swift,4:07,Album  
Karma,Taylor Swift,3:24,Album  
Sweet Nothing, Taylor Swift,3:08,Album  
Mastermind,Taylor Swift, 3:11,Album  
Christmas Lights, Coldplay, 4:03,Single
Merry Christmas, Ed Sheeran,3:29, Single
Let It Snow Let It Snow Let It Snow,Idina Menzel,2:41, Single
Nahin Milta, Bayaan,4:45 ,EP
Farda, Bayaan,4:29,EP
Din Dhalay, Bayaan,5:36,EP
Khel Tamasa, Bayaan,6:41,EP
Hum Nadaan, Bayaan,3:46,EP